"id","Address","Response_Address","Response_X","Response_Y"
1,"台北市復興北路99號",NA,NA,NA
2,"台北市松山區復興北路99號",NA,NA,NA
3,"台北市延平南路八十一號",NA,NA,NA
4,"台中市自由路2段1號",NA,NA,NA
5,"台南市中正路26號",NA,NA,NA
6,"高雄市大勇路131號",NA,NA,NA
7,"嘉義市中山路309號",NA,NA,NA
8,"新竹市中央路1號",NA,NA,NA
9,"花蓮縣玉里鎮中山路二段五十五號",NA,NA,NA
10,"花蓮縣花蓮市中山路356號",NA,NA,NA
11,"台北市和平東路3段15號",NA,NA,NA
12,"台北市中山北路五段六八九號",NA,NA,NA
13,"高雄市建國一路458號",NA,NA,NA
14,"彰化市光復路九十八號",NA,NA,NA
15,"台南市白河區三民路三九五號",NA,NA,NA
16,"台北市南港區南港路1段364號",NA,NA,NA
17,"台北市基隆路1段200號",NA,NA,NA
18,"台北縣板橋市東門街30之2號",NA,NA,NA
19,"台北縣樹林市復興路11號",NA,NA,NA
20,"新北市新店區安和路一段25之5號及25之6號",NA,NA,NA
21,"新竹市大同路130號3樓及新竹市中山路3號",NA,NA,NA
22,"新北市新店區北新路2段108號",NA,NA,NA
23,"桃園市桃園區經國路126號2樓及128號",NA,NA,NA
24,"台北市承德路1段17號",NA,NA,NA
25,"台北巿信義路4段456號",NA,NA,NA
26,"台北市民生東路2段174號",NA,NA,NA
27,"新北市蘆洲區中山一路161號",NA,NA,NA
28,"桃園市楊梅區新成路208號",NA,NA,NA
29,"新北市泰山區明志路1段205號",NA,NA,NA
30,"高雄市中華四路159號",NA,NA,NA
31,"苗栗縣苗栗市建民街60號",NA,NA,NA
32,"桃園市平鎮區環南路18號",NA,NA,NA
33,"基隆市義一路18號",NA,NA,NA
34,"臺南市成功路518號",NA,NA,NA
35,"台中市崇德路2段130號",NA,NA,NA
36,"新北市中和區景新街338號",NA,NA,NA
37,"新北市三重區自強路一段73號",NA,NA,NA
38,"新北市蘆洲區長榮路136號",NA,NA,NA
39,"臺北市南港區經貿二路168號",NA,NA,NA
40,"新北市三重區重陽路一段66號",NA,NA,NA
41,"台北市中正區忠孝西路一段6號",NA,NA,NA
42,"台南市永康區中華路425號",NA,NA,NA
43,"台中市北屯區文心路四段八七五號",NA,NA,NA
44,"新竹市民族路139號",NA,NA,NA
45,"台北市中山區松江路220號",NA,NA,NA
46,"嘉義市西區中山路386號",NA,NA,NA
47,"新北市永和區中正路63號",NA,NA,NA
48,"桃園市中壢區中山路118號",NA,NA,NA
49,"高雄市前金區中正四路168號",NA,NA,NA
50,"台北市南港區經貿二路168號",NA,NA,NA
51,"台中市梧棲區四維中路157巷1號",NA,NA,NA
52,"台北市中山區南京東路3段225號",NA,NA,NA
53,"台北市中山區松江路139號",NA,NA,NA
54,"雲林縣斗六市中山路82號",NA,NA,NA
55,"台南市開元路147號",NA,NA,NA
56,"新竹市光復路1段267號",NA,NA,NA
57,"桃園市蘆竹區中正路311號",NA,NA,NA
58,"台北市中正區南海路1號",NA,NA,NA
59,"台北市大同區承德路3段210號",NA,NA,NA
60,"台中市沙鹿區沙田路131號",NA,NA,NA
61,"台中市清水區中山路170號",NA,NA,NA
